t_index,mean_abs_shap
0,0.01923356483702927
1,0.023369047666907283
2,0.023952040625975782
3,0.023536024874922318
4,0.022681023406964665
5,0.02139938081252923
6,0.01995088045416406
7,0.018142751557991152
8,0.01612730533440216
9,0.009362943581745668
