"site","Src","Plot","Ind","Yrm","Tcode","gl","Tos"
"Sagwon","SG","SG17","SG17",2016,"Sagwon.SG17.SG17.Black.2016",16,225
"Coldfoot","CF","CF2","A",2023,"Coldfoot.CF2.A.Red.2023",14,243
"Toolik","TL","TL8","B",2022,"Toolik.TL8.B.Blue.2022",11,202
"Sagwon","SG","SG10","C",2023,"Sagwon.SG10.C.Blue.2023",12,203
"Coldfoot","TL","TL10","C",2022,"Coldfoot.TL10.C.red.2022",13,201
"Toolik","CF","CF5","B",2022,"Toolik.CF5.B.yellow.2022",11,215
"Toolik","TL","TL2","C",2022,"Toolik.TL2.C.yellow.2022",11,220
"Sagwon","TL","TL5","B",2022,"Sagwon.TL5.B.blue.2022",9,NA
"Coldfoot","SG","SG10","SG10",2017,"Coldfoot.SG10.SG10.Black.2017",9,233
"Sagwon","CF","CF5","B",2024,"Sagwon.CF5.B.blue.2024",13,226
"Toolik","SG","SG11","C",2022,"Toolik.SG11.C.Red.2022",11,202
"Toolik","SG","SG8","C",2022,"Toolik.SG8.C.Blue.2022",11,192
"Toolik","SG","SG8","C",2022,"Toolik.SG8.C.Yellow.2022",11,220
"Toolik","CF","CF2","CF2",2015,"Toolik.CF2.CF2.Black.2015",10,NA
"Coldfoot","TL","TL5","A",2022,"Coldfoot.TL5.A.Red.2022",13,201
"Toolik","TL","TL5","TL5",2017,"Toolik.TL5.TL5.Black.2017",9,220
"Coldfoot","SG","SG5","C",2024,"Coldfoot.SG5.C.blue2.2024",17,215
"Toolik","TL","TL4","A",2024,"Toolik.TL4.A.yellow.2024",15,227
"Toolik","TL","TL8","B",2023,"Toolik.TL8.B.Yellow.2023",14,215
"Sagwon","TL","TL2","B",2022,"Sagwon.TL2.B.blue.2022",9,214
"Toolik","TL","TL8","B",2024,"Toolik.TL8.B.Yellow.2024",15,232
"Coldfoot","TL","TL9","C",2022,"Coldfoot.TL9.C.blue.2022",13,210
"Toolik","CF","CF18","CF18",2015,"Toolik.CF18.CF18.Black.2015",10,205
"Toolik","SG","SG11","B",2022,"Toolik.SG11.B.Red.2022",11,202
"Sagwon","CF","CF7","A",2022,"Sagwon.CF7.A.red.2022",9,NA
"Sagwon","CF","CF13","CF13",2017,"Sagwon.CF13.CF13.Black.2017",13,236
"Toolik","TL","TL8","B",2022,"Toolik.TL8.B.Yellow.2022",11,215
"Toolik","SG","SG11","SG11",2015,"Toolik.SG11.SG11.Black.2015",10,187
"Sagwon","TL","TL11","B",2022,"Sagwon.TL11.B.red.2022",9,232
"Sagwon","SG","SG5","SG5",2016,"Sagwon.SG5.SG5.Black.2016",16,218
"Toolik","SG","SG8","A",2024,"Toolik.SG8.A.Red.2024",15,213
"Coldfoot","TL","TL9","B",2023,"Coldfoot.TL9.B.blue.2023",14,243
"Toolik","TL","TL8","C",2022,"Toolik.TL8.C.Red.2022",11,220
"Toolik","SG","SG2","SG2",2016,"Toolik.SG2.SG2.Black.2016",14,219
"Coldfoot","CF","CF6","CF6",2016,"Coldfoot.CF6.CF6.Black2.2016",13,217
"Coldfoot","SG","SG7","SG7",2016,"Coldfoot.SG7.SG7.Black2.2016",1,NA
"Coldfoot","SG","SG4","SG4",2017,"Coldfoot.SG4.SG4.Black.2017",13,199
"Toolik","TL","TL4","A",2023,"Toolik.TL4.A.yellow.2023",14,228
"Coldfoot","SG","SG10","A",2024,"Coldfoot.SG10.A.Yellow.2024",17,223
"Sagwon","SG","SG8","SG8",2015,"Sagwon.SG8.SG8.Black.2015",10,196
"Toolik","SG","SG5","SG5",2017,"Toolik.SG5.SG5.Black.2017",14,220
"Toolik","TL","TL13","A",2024,"Toolik.TL13.A.Red.2024",15,227
"Sagwon","TL","TL13","A",2022,"Sagwon.TL13.A.Blue.2022",9,222
"Sagwon","CF","CF16","C",2023,"Sagwon.CF16.C.Blue.2023",13,242
"Toolik","TL","TL17","TL17",2017,"Toolik.TL17.TL17.Black.2017",14,220
"Coldfoot","CF","CF6","A",2022,"Coldfoot.CF6.A.blue.2022",13,236
"Toolik","CF","CF7","C",2024,"Toolik.CF7.C.yellow.2024",15,232
"Sagwon","SG","SG17","A",2023,"Sagwon.SG17.A.blue.2023",13,234
"Sagwon","CF","CF7","CF7",2016,"Sagwon.CF7.CF7.Black.2016",16,225
"Coldfoot","SG","SG6","B",2024,"Coldfoot.SG6.B.blue2.2024",17,196
"Coldfoot","CF","CF2","B",2023,"Coldfoot.CF2.B.Blue.2023",14,236
"Coldfoot","TL","TL5","C",2022,"Coldfoot.TL5.C.Red.2022",13,201
"Sagwon","SG","SG14","A",2024,"Sagwon.SG14.A.Red.2024",13,233
"Sagwon","TL","TL8","B",2022,"Sagwon.TL8.B.red.2022",9,NA
"Toolik","CF","CF5","C",2022,"Toolik.CF5.C.blue.2022",11,234
"Toolik","CF","CF16","C",2022,"Toolik.CF16.C.yellow.2022",11,234
"Toolik","TL","TL19","C",2023,"Toolik.TL19.C.blue.2023",14,228
"Sagwon","CF","CF5","B",2022,"Sagwon.CF5.B.blue.2022",9,222
"Coldfoot","CF","CF7","A",2024,"Coldfoot.CF7.A.red.2024",17,230
"Toolik","TL","TL19","B",2023,"Toolik.TL19.B.blue.2023",14,221
"Toolik","SG","SG2","A",2024,"Toolik.SG2.A.blue.2024",15,213
"Coldfoot","CF","CF6","CF6",2016,"Coldfoot.CF6.CF6.Black.2016",1,NA
"Toolik","TL","TL13","TL13",2015,"Toolik.TL13.TL13.Black.2015",10,194
"Toolik","TL","TL10","A",2023,"Toolik.TL10.A.yellow.2023",14,215
"Coldfoot","SG","SG1","A",2022,"Coldfoot.SG1.A.Red.2022",13,216
"Toolik","CF","CF5","A",2022,"Toolik.CF5.A.blue.2022",11,NA
"Sagwon","TL","TL17","A",2022,"Sagwon.TL17.A.red.2022",9,232
"Sagwon","TL","TL11","A",2024,"Sagwon.TL11.A.blue2.2024",13,213
"Coldfoot","CF","CF1","A",2022,"Coldfoot.CF1.A.Red.2022",13,236
"Sagwon","SG","SG14","C",2023,"Sagwon.SG14.C.Blue.2023",13,217
"Sagwon","TL","TL17","B",2024,"Sagwon.TL17.B.yellow.2024",13,219
"Coldfoot","TL","TL8","B",2024,"Coldfoot.TL8.B.Yellow2.2024",17,223
"Coldfoot","TL","TL2","TL2",2017,"Coldfoot.TL2.TL2.Black.2017",13,210
"Toolik","CF","CF4","C",2022,"Toolik.CF4.C.red.2022",11,220
"Coldfoot","CF","CF7","CF7",2016,"Coldfoot.CF7.CF7.Black.2016",7,NA
"Toolik","SG","SG2","B",2023,"Toolik.SG2.B.yellow.2023",11,194
"Toolik","TL","TL8","C",2023,"Toolik.TL8.C.Yellow.2023",14,221
"Sagwon","SG","SG17","A",2024,"Sagwon.SG17.A.blue.2024",13,226
"Coldfoot","CF","CF4","A",2022,"Coldfoot.CF4.A.Blue.2022",13,NA
"Sagwon","CF","CF13","B",2022,"Sagwon.CF13.B.Blue.2022",9,NA
"Coldfoot","SG","SG4","B",2023,"Coldfoot.SG4.B.Red.2023",14,213
"Coldfoot","CF","CF7","A",2022,"Coldfoot.CF7.A.blue.2022",13,223
"Coldfoot","TL","TL9","C",2023,"Coldfoot.TL9.C.Yellow.2023",14,213
"Toolik","SG","SG11","B",2024,"Toolik.SG11.B.Blue.2024",7,NA
"Sagwon","CF","CF16","CF16",2017,"Sagwon.CF16.CF16.Black.2017",13,228
"Sagwon","TL","TL4","B",2022,"Sagwon.TL4.B.blue.2022",9,232
"Sagwon","TL","TL13","C",2022,"Sagwon.TL13.C.Blue.2022",9,222
"Toolik","SG","SG11","B",2022,"Toolik.SG11.B.Yellow.2022",11,220
"Coldfoot","TL","TL1","A",2024,"Coldfoot.TL1.A.Red.2024",13,174
"Toolik","CF","CF2","C",2024,"Toolik.CF2.C.blue.2024",15,232
"Toolik","SG","SG14","C",2022,"Toolik.SG14.C.red.2022",11,211
"Toolik","CF","CF16","CF16",2017,"Toolik.CF16.CF16.Black.2017",14,231
"Toolik","TL","TL17","B",2023,"Toolik.TL17.B.yellow2.2023",14,221
"Toolik","CF","CF4","A",2024,"Toolik.CF4.A.yellow.2024",15,220
"Toolik","CF","CF16","C",2022,"Toolik.CF16.C.blue.2022",11,234
"Toolik","CF","CF16","C",2024,"Toolik.CF16.C.red.2024",15,206
"Coldfoot","SG","SG1","SG1",2016,"Coldfoot.SG1.SG1.Black.2016",13,194
"Toolik","TL","TL17","TL17",2016,"Toolik.TL17.TL17.Black.2016",14,226
"Toolik","TL","TL5","TL5",2015,"Toolik.TL5.TL5.Black.2015",10,194
"Toolik","CF","CF19","B",2023,"Toolik.CF19.B.red.2023",14,235
"Toolik","CF","CF19","CF19",2017,"Toolik.CF19.CF19.Black.2017",14,231
"Toolik","CF","CF5","CF5",2017,"Toolik.CF5.CF5.Black.2017",14,231
"Sagwon","CF","CF7","C",2024,"Sagwon.CF7.C.red.2024",13,213
"Coldfoot","CF","CF1","C",2022,"Coldfoot.CF1.C.Blue.2022",13,236
