"site","Src","Plot","Ind","Yrm","Tcode","gl","Tos"
"Coldfoot","SG","SG5","C",2022,"Coldfoot.SG5.C.blue.2022",13,223
"Toolik","SG","SG5","A",2023,"Toolik.SG5.A.red.2023",10,194
"Coldfoot","SG","SG8","SG8",2016,"Coldfoot.SG8.SG8.Black.2016",13,202
"Sagwon","TL","TL5","A",2024,"Sagwon.TL5.A.red2.2024",5,233
"Sagwon","CF","CF19","C",2024,"Sagwon.CF19.C.blue.2024",13,233
"Coldfoot","CF","CF1","C",2022,"Coldfoot.CF1.C.Red.2022",13,223
"Toolik","TL","TL17","B",2024,"Toolik.TL17.B.yellow2.2024",15,213
"Coldfoot","CF","CF9","B",2022,"Coldfoot.CF9.B.red.2022",13,187
"Sagwon","SG","SG16","SG16",2016,"Sagwon.SG16.SG16.Black.2016",16,218
"Coldfoot","SG","SG3","C",2022,"Coldfoot.SG3.C.Blue.2022",13,210
"Sagwon","CF","CF7","CF7",2017,"Sagwon.CF7.CF7.Black.2017",13,236
"Coldfoot","CF","CF4","A",2023,"Coldfoot.CF4.A.Yellow.2023",14,206
"Sagwon","CF","CF5","B",2023,"Sagwon.CF5.B.blue.2023",13,224
"Coldfoot","CF","CF9","C",2024,"Coldfoot.CF9.C.yellow2.2024",16,223
"Coldfoot","SG","SG5","B",2024,"Coldfoot.SG5.B.blue2.2024",17,223
"Coldfoot","CF","CF3","A",2023,"Coldfoot.CF3.A.Blue.2023",14,213
"Coldfoot","TL","TL2","TL2",2015,"Coldfoot.TL2.TL2.Black.2015",9,211
"Toolik","SG","SG19","C",2024,"Toolik.SG19.C.blue.2024",14,213
"Sagwon","CF","CF18","CF18",2016,"Sagwon.CF18.CF18.Black.2016",10,NA
"Toolik","CF","CF19","A",2024,"Toolik.CF19.A.yellow.2024",15,232
"Coldfoot","TL","TL3","C",2023,"Coldfoot.TL3.C.Yellow.2023",14,213
"Toolik","SG","SG10","SG10",2016,"Toolik.SG10.SG10.Black.2016",14,205
"Coldfoot","CF","CF7","C",2022,"Coldfoot.CF7.C.red.2022",13,236
"Coldfoot","CF","CF6","C",2022,"Coldfoot.CF6.C.red.2022",13,223
"Sagwon","SG","SG10","A",2023,"Sagwon.SG10.A.Red.2023",11,217
"Coldfoot","SG","SG1","C",2024,"Coldfoot.SG1.C.Blue2.2024",17,215
"Toolik","SG","SG14","C",2023,"Toolik.SG14.C.yellow.2023",14,235
"Coldfoot","CF","CF9","B",2022,"Coldfoot.CF9.B.blue.2022",13,216
"Coldfoot","TL","TL3","B",2022,"Coldfoot.TL3.B.Red.2022",13,210
"Toolik","CF","CF16","CF16",2016,"Toolik.CF16.CF16.Black.2016",14,232
"Coldfoot","SG","SG6","A",2023,"Coldfoot.SG6.A.Yellow.2023",14,213
"Sagwon","CF","CF5","A",2023,"Sagwon.CF5.A.blue.2023",13,224
"Coldfoot","TL","TL10","B",2022,"Coldfoot.TL10.B.red.2022",12,210
"Sagwon","CF","CF13","B",2023,"Sagwon.CF13.B.Blue.2023",13,224
"Sagwon","TL","TL13","A",2024,"Sagwon.TL13.A.Blue.2024",13,233
"Coldfoot","SG","SG5","C",2022,"Coldfoot.SG5.C.red.2022",13,223
"Toolik","TL","TL17","A",2023,"Toolik.TL17.A.blue.2023",14,221
"Toolik","TL","TL5","B",2023,"Toolik.TL5.B.yellow.2023",11,215
"Coldfoot","CF","CF2","B",2022,"Coldfoot.CF2.B.Blue.2022",13,236
"Coldfoot","TL","TL3","A",2023,"Coldfoot.TL3.A.Blue.2023",14,206
"Sagwon","SG","SG3","B",2024,"Sagwon.SG3.B.red.2024",12,233
"Toolik","SG","SG14","A",2022,"Toolik.SG14.A.blue.2022",11,202
"Sagwon","CF","CF11","B",2022,"Sagwon.CF11.B.Red.2022",9,NA
"Sagwon","TL","TL8","TL8",2016,"Sagwon.TL8.TL8.Black3.2016",1,NA
"Coldfoot","TL","TL5","B",2024,"Coldfoot.TL5.B.Red.2024",17,215
"Sagwon","TL","TL2","B",2024,"Sagwon.TL2.B.Yellow.2024",13,233
"Sagwon","SG","SG17","C",2022,"Sagwon.SG17.C.red.2022",9,199
"Coldfoot","TL","TL4","B",2022,"Coldfoot.TL4.B.Red.2022",13,216
"Coldfoot","SG","SG10","C",2022,"Coldfoot.SG10.C.blue.2022",13,210
"Coldfoot","SG","SG7","SG7",2016,"Coldfoot.SG7.SG7.Black.2016",13,194
"Sagwon","TL","TL8","B",2023,"Sagwon.TL8.B.Yellow.2023",13,242
"Toolik","TL","TL13","C",2024,"Toolik.TL13.C.Blue.2024",15,220
"Coldfoot","TL","TL4","B",2022,"Coldfoot.TL4.B.Blue.2022",13,216
"Toolik","SG","SG19","SG19",2017,"Toolik.SG19.SG19.Black.2017",14,220
"Coldfoot","TL","TL9","A",2023,"Coldfoot.TL9.A.blue.2023",14,213
"Coldfoot","TL","TL2","A",2023,"Coldfoot.TL2.A.Red.2023",14,213
"Toolik","SG","SG17","SG17",2015,"Toolik.SG17.SG17.Black.2015",10,194
"Toolik","SG","SG19","SG19",2015,"Toolik.SG19.SG19.Black.2015",10,187
"Sagwon","SG","SG11","B",2023,"Sagwon.SG11.B.blue.2023",11,224
"Sagwon","TL","TL16","TL16",2015,"Sagwon.TL16.TL16.Black.2015",9,206
"Sagwon","SG","SG19","A",2022,"Sagwon.SG19.A.blue.2022",9,232
"Toolik","CF","CF4","CF4",2017,"Toolik.CF4.CF4.Black.2017",14,220
"Coldfoot","CF","CF7","CF7",2015,"Coldfoot.CF7.CF7.Black.2015",9,197
"Coldfoot","SG","SG7","B",2022,"Coldfoot.SG7.B.blue.2022",13,210
"Sagwon","CF","CF2","B",2024,"Sagwon.CF2.B.blue.2024",13,233
"Sagwon","SG","SG3","C",2022,"Sagwon.SG3.C.red.2022",9,214
"Toolik","CF","CF2","C",2023,"Toolik.CF2.C.blue.2023",14,235
"Coldfoot","SG","SG4","SG4",2015,"Coldfoot.SG4.SG4.Black.2015",9,176
"Toolik","SG","SG8","B",2023,"Toolik.SG8.B.Red.2023",11,221
"Sagwon","SG","SG3","C",2023,"Sagwon.SG3.C.red.2023",13,217
"Coldfoot","CF","CF2","C",2023,"Coldfoot.CF2.C.Red.2023",14,236
"Toolik","CF","CF5","B",2024,"Toolik.CF5.B.blue.2024",15,220
"Toolik","CF","CF5","B",2022,"Toolik.CF5.B.blue.2022",11,220
"Sagwon","SG","SG10","C",2022,"Sagwon.SG10.C.Blue.2022",9,232
"Coldfoot","TL","TL10","B",2024,"Coldfoot.TL10.B.Yellow.2024",17,215
"Toolik","SG","SG10","SG10",2015,"Toolik.SG10.SG10.Black.2015",10,181
"Coldfoot","CF","CF9","A",2024,"Coldfoot.CF9.A.blue2.2024",6,NA
"Coldfoot","TL","TL8","B",2022,"Coldfoot.TL8.B.red.2022",13,201
"Toolik","CF","CF16","B",2022,"Toolik.CF16.B.yellow.2022",11,234
"Coldfoot","SG","SG1","C",2023,"Coldfoot.SG1.C.Blue.2023",14,213
"Sagwon","SG","SG19","B",2023,"Sagwon.SG19.B.red.2023",13,224
"Coldfoot","CF","CF3","B",2023,"Coldfoot.CF3.B.Yellow.2023",14,206
"Coldfoot","SG","SG3","B",2023,"Coldfoot.SG3.B.Blue.2023",14,213
"Coldfoot","SG","SG10","SG10",2016,"Coldfoot.SG10.SG10.Black.2016",13,194
"Toolik","CF","CF13","CF13",2015,"Toolik.CF13.CF13.Black.2015",10,218
"Toolik","TL","TL2","C",2022,"Toolik.TL2.C.red.2022",11,220
"Toolik","SG","SG8","B",2024,"Toolik.SG8.B.Blue2.2024",15,227
"Sagwon","SG","SG2","B",2022,"Sagwon.SG2.B.red.2022",9,214
"Sagwon","TL","TL4","C",2024,"Sagwon.TL4.C.red.2024",13,233
"Coldfoot","TL","TL2","B",2022,"Coldfoot.TL2.B.Blue.2022",13,201
"Sagwon","SG","SG5","C",2024,"Sagwon.SG5.C.blue.2024",13,233
"Coldfoot","CF","CF1","B",2024,"Coldfoot.CF1.B.Red.2024",17,230
"Sagwon","TL","TL13","B",2024,"Sagwon.TL13.B.Red.2024",13,219
"Sagwon","CF","CF5","A",2022,"Sagwon.CF5.A.red.2022",9,232
"Toolik","SG","SG8","B",2022,"Toolik.SG8.B.Yellow.2022",11,220
"Coldfoot","SG","SG7","A",2024,"Coldfoot.SG7.A.red.2024",16,215
"Toolik","TL","TL2","B",2022,"Toolik.TL2.B.red.2022",11,220
"Coldfoot","SG","SG6","C",2023,"Coldfoot.SG6.C.blue.2023",14,199
"Toolik","TL","TL5","A",2024,"Toolik.TL5.A.red.2024",15,227
"Toolik","TL","TL17","C",2022,"Toolik.TL17.C.blue.2022",11,233
"Toolik","TL","TL2","A",2024,"Toolik.TL2.A.red2.2024",15,206
"Toolik","SG","SG8","A",2022,"Toolik.SG8.A.Blue.2022",11,202
"Sagwon","CF","CF11","CF11",2016,"Sagwon.CF11.CF11.Black.2016",16,252
"Sagwon","CF","CF18","A",2022,"Sagwon.CF18.A.blue.2022",7,NA
"Sagwon","SG","SG2","B",2024,"Sagwon.SG2.B.blue.2024",13,233
"Toolik","CF","CF2","A",2022,"Toolik.CF2.A.yellow.2022",11,NA
"Toolik","SG","SG10","A",2022,"Toolik.SG10.A.yellow.2022",11,211
"Sagwon","CF","CF7","CF7",2015,"Sagwon.CF7.CF7.Black.2015",10,196
"Toolik","CF","CF10","CF10",2017,"Toolik.CF10.CF10.Black.2017",14,231
"Coldfoot","TL","TL5","TL5",2017,"Coldfoot.TL5.TL5.Black.2017",13,217
"Toolik","SG","SG8","A",2022,"Toolik.SG8.A.Red.2022",11,215
"Toolik","TL","TL8","A",2024,"Toolik.TL8.A.Blue.2024",15,213
"Toolik","TL","TL19","A",2022,"Toolik.TL19.A.blue.2022",11,220
"Coldfoot","TL","TL9","A",2022,"Coldfoot.TL9.A.red.2022",13,223
"Coldfoot","TL","TL10","TL10",2017,"Coldfoot.TL10.TL10.Black.2017",13,217
"Sagwon","CF","CF11","B",2024,"Sagwon.CF11.B.Red.2024",13,233
"Coldfoot","CF","CF9","C",2022,"Coldfoot.CF9.C.red.2022",13,201
"Coldfoot","TL","TL5","B",2023,"Coldfoot.TL5.B.Red.2023",14,199
"Toolik","CF","CF5","A",2022,"Toolik.CF5.A.yellow.2022",11,220
"Sagwon","CF","CF2","B",2022,"Sagwon.CF2.B.blue.2022",9,232
"Toolik","CF","CF13","C",2024,"Toolik.CF13.C.Blue.2024",15,232
"Coldfoot","SG","SG2","B",2024,"Coldfoot.SG2.B.Blue2.2024",17,215
"Sagwon","CF","CF19","CF19",2016,"Sagwon.CF19.CF19.Black.2016",16,225
"Sagwon","SG","SG3","C",2022,"Sagwon.SG3.C.blue.2022",9,206
"Toolik","CF","CF2","B",2023,"Toolik.CF2.B.blue.2023",14,228
"Coldfoot","CF","CF1","CF1",2016,"Coldfoot.CF1.CF1.Black.2016",13,236
"Sagwon","TL","TL10","TL10",2016,"Sagwon.TL10.TL10.Black.2016",16,231
"Toolik","SG","SG3","C",2024,"Toolik.SG3.C.Purple2.2024",8,213
"Toolik","TL","TL17","C",2022,"Toolik.TL17.C.red.2022",11,220
"Sagwon","CF","CF4","CF4",2015,"Sagwon.CF4.CF4.Black.2015",10,180
"Coldfoot","CF","CF4","B",2022,"Coldfoot.CF4.B.Red.2022",13,216
"Sagwon","SG","SG5","A",2023,"Sagwon.SG5.A.red.2023",13,210
"Toolik","SG","SG19","C",2023,"Toolik.SG19.C.blue.2023",14,215
"Toolik","TL","TL10","TL10",2015,"Toolik.TL10.TL10.Black.2015",10,187
"Toolik","TL","TL2","A",2022,"Toolik.TL2.A.blue.2022",11,220
"Sagwon","SG","SG3","A",2022,"Sagwon.SG3.A.red.2022",9,222
"Coldfoot","SG","SG10","C",2024,"Coldfoot.SG10.C.red2.2024",17,215
"Sagwon","CF","CF19","B",2024,"Sagwon.CF19.B.blue2.2024",13,233
"Sagwon","CF","CF11","CF11",2015,"Sagwon.CF11.CF11.Black.2015",10,230
"Coldfoot","TL","TL9","B",2024,"Coldfoot.TL9.B.Red.2024",15,223
"Coldfoot","CF","CF4","B",2023,"Coldfoot.CF4.B.Blue.2023",14,213
"Coldfoot","CF","CF10","C",2023,"Coldfoot.CF10.C.Yellow.2023",14,206
"Coldfoot","CF","CF4","CF4",2015,"Coldfoot.CF4.CF4.Black.2015",8,211
"Coldfoot","TL","TL3","B",2024,"Coldfoot.TL3.B.Blue.2024",17,230
"Sagwon","TL","TL13","A",2022,"Sagwon.TL13.A.Red.2022",9,199
"Coldfoot","SG","SG4","C",2024,"Coldfoot.SG4.C.Red2.2024",17,202
"Toolik","TL","TL10","B",2024,"Toolik.TL10.B.yellow.2024",15,213
"Coldfoot","TL","TL7","TL7",2015,"Coldfoot.TL7.TL7.Black.2015",8,189
"Toolik","TL","TL17","C",2024,"Toolik.TL17.C.yellow.2024",7,NA
"Toolik","TL","TL19","C",2022,"Toolik.TL19.C.red.2022",11,202
"Coldfoot","CF","CF7","B",2024,"Coldfoot.CF7.B.blue.2024",17,223
"Sagwon","TL","TL17","C",2023,"Sagwon.TL17.C.blue.2023",13,217
"Sagwon","TL","TL4","A",2024,"Sagwon.TL4.A.blue.2024",13,233
"Toolik","SG","SG11","A",2024,"Toolik.SG11.A.Blue.2024",15,220
"Coldfoot","SG","SG7","B",2024,"Coldfoot.SG7.B.Yellow2.2024",16,215
"Coldfoot","CF","CF8","CF8",2016,"Coldfoot.CF8.CF8.Black.2016",13,229
"Sagwon","CF","CF16","B",2024,"Sagwon.CF16.B.Yellow2.2024",13,233
"Sagwon","TL","TL17","A",2022,"Sagwon.TL17.A.blue.2022",9,222
"Sagwon","CF","CF18","B",2023,"Sagwon.CF18.B.blue.2023",12,186
"Toolik","TL","TL8","TL8",2017,"Toolik.TL8.TL8.Black.2017",14,220
"Toolik","SG","SG8","B",2022,"Toolik.SG8.B.Blue.2022",11,220
"Sagwon","SG","SG3","SG3",2015,"Sagwon.SG3.SG3.Black.2015",7,177
"Toolik","SG","SG14","A",2023,"Toolik.SG14.A.red.2023",14,215
"Sagwon","SG","SG5","C",2022,"Sagwon.SG5.C.red.2022",9,232
"Sagwon","CF","CF4","CF4",2016,"Sagwon.CF4.CF4.Black.2016",16,243
"Toolik","TL","TL5","A",2023,"Toolik.TL5.A.red.2023",14,234
"Toolik","TL","TL10","TL10",2017,"Toolik.TL10.TL10.Black.2017",14,220
"Toolik","CF","CF2","A",2022,"Toolik.CF2.A.blue.2022",11,220
"Sagwon","TL","TL5","B",2024,"Sagwon.TL5.B.red.2024",13,NA
"Coldfoot","CF","CF7","A",2022,"Coldfoot.CF7.A.red.2022",13,236
"Coldfoot","CF","CF3","A",2022,"Coldfoot.CF3.A.Red.2022",13,223
"Toolik","TL","TL2","A",2023,"Toolik.TL2.A.red.2023",11,208
"Coldfoot","CF","CF7","C",2024,"Coldfoot.CF7.C.red2.2024",17,207
"Toolik","SG","SG8","SG8",2017,"Toolik.SG8.SG8.Black.2017",14,220
"Sagwon","CF","CF19","A",2024,"Sagwon.CF19.A.blue.2024",13,233
"Coldfoot","TL","TL4","A",2022,"Coldfoot.TL4.A.Red.2022",13,201
"Sagwon","CF","CF19","C",2023,"Sagwon.CF19.C.blue.2023",13,224
"Sagwon","SG","SG10","C",2024,"Sagwon.SG10.C.Red.2024",13,226
"Sagwon","SG","SG17","A",2022,"Sagwon.SG17.A.red.2022",9,222
"Coldfoot","CF","CF4","B",2022,"Coldfoot.CF4.B.Blue.2022",13,223
"Toolik","CF","CF7","CF7",2015,"Toolik.CF7.CF7.Black.2015",10,205
"Coldfoot","SG","SG7","B",2023,"Coldfoot.SG7.B.Yellow.2023",14,206
"Sagwon","SG","SG8","SG8",2016,"Sagwon.SG8.SG8.Black.2016",16,209
"Toolik","SG","SG10","A",2022,"Toolik.SG10.A.blue.2022",11,220
"Coldfoot","SG","SG1","C",2022,"Coldfoot.SG1.C.Blue.2022",13,201
"Sagwon","SG","SG10","A",2022,"Sagwon.SG10.A.Red.2022",9,222
"Sagwon","TL","TL16","A",2024,"Sagwon.TL16.A.blue.2024",13,219
"Sagwon","SG","SG17","B",2024,"Sagwon.SG17.B.red.2024",13,233
"Sagwon","CF","CF16","B",2023,"Sagwon.CF16.B.Yellow.2023",11,217
"Sagwon","TL","TL17","TL17",2016,"Sagwon.TL17.TL17.Black2.2016",11,209
"Toolik","SG","SG8","C",2023,"Toolik.SG8.C.Red.2023",14,201
"Toolik","SG","SG19","A",2023,"Toolik.SG19.A.red.2023",14,221
"Coldfoot","SG","SG3","SG3",2016,"Coldfoot.SG3.SG3.Black2.2016",13,202
"Coldfoot","CF","CF10","C",2024,"Coldfoot.CF10.C.Yellow2.2024",17,230
"Sagwon","CF","CF13","B",2024,"Sagwon.CF13.B.Blue2.2024",4,239
"Sagwon","SG","SG10","SG10",2016,"Sagwon.SG10.SG10.Black.2016",16,209
"Sagwon","CF","CF13","A",2024,"Sagwon.CF13.A.Red2.2024",13,233
"Sagwon","SG","SG11","B",2022,"Sagwon.SG11.B.blue.2022",9,222
"Sagwon","SG","SG3","A",2024,"Sagwon.SG3.A.red.2024",13,233
"Sagwon","CF","CF18","CF18",2017,"Sagwon.CF18.CF18.Black.2017",13,228
"Sagwon","CF","CF16","A",2022,"Sagwon.CF16.A.Red.2022",9,222
"Sagwon","SG","SG3","SG3",2016,"Sagwon.SG3.SG3.Black2.2016",16,231
"Coldfoot","TL","TL1","A",2024,"Coldfoot.TL1.A.Red1.2024",5,NA
"Coldfoot","CF","CF3","B",2022,"Coldfoot.CF3.B.Red.2022",7,173
"Coldfoot","TL","TL8","C",2024,"Coldfoot.TL8.C.red2.2024",16,189
"Sagwon","CF","CF2","C",2022,"Sagwon.CF2.C.blue.2022",9,222
"Coldfoot","SG","SG6","B",2022,"Coldfoot.SG6.B.blue.2022",13,194
"Sagwon","CF","CF18","C",2022,"Sagwon.CF18.C.blue.2022",9,NA
"Toolik","CF","CF5","A",2023,"Toolik.CF5.A.blue.2023",14,235
"Toolik","SG","SG11","C",2022,"Toolik.SG11.C.Yellow.2022",11,215
"Sagwon","SG","SG11","B",2024,"Sagwon.SG11.B.red.2024",13,233
"Coldfoot","TL","TL3","C",2022,"Coldfoot.TL3.C.Blue.2022",13,210
"Toolik","CF","CF5","C",2022,"Toolik.CF5.C.yellow.2022",11,220
"Coldfoot","TL","TL4","TL4",2015,"Coldfoot.TL4.TL4.Black.2015",9,182
"Coldfoot","SG","SG4","C",2023,"Coldfoot.SG4.C.Red.2023",14,206
"Sagwon","SG","SG19","A",2024,"Sagwon.SG19.A.blue.2024",13,226
"Sagwon","TL","TL2","B",2022,"Sagwon.TL2.B.red.2022",9,231
"Toolik","CF","CF10","A",2024,"Toolik.CF10.A.Blue2.2024",15,232
"Sagwon","CF","CF16","CF16",2015,"Sagwon.CF16.CF16.Black.2015",10,206
"Sagwon","SG","SG5","C",2022,"Sagwon.SG5.C.blue.2022",9,199
"Toolik","TL","TL19","C",2022,"Toolik.TL19.C.yellow.2022",11,220
"Sagwon","CF","CF5","C",2024,"Sagwon.CF5.C.blue.2024",13,233
"Coldfoot","SG","SG9","SG9",2015,"Coldfoot.SG9.SG9.Black.2015",9,189
"Toolik","CF","CF7","CF7",2017,"Toolik.CF7.CF7.Black.2017",14,231
"Toolik","TL","TL5","B",2024,"Toolik.TL5.B.red.2024",15,213
"Sagwon","TL","TL16","C",2022,"Sagwon.TL16.C.blue.2022",9,232
"Sagwon","TL","TL16","TL16",2017,"Sagwon.TL16.TL16.Black.2017",13,228
"Coldfoot","CF","CF1","C",2023,"Coldfoot.CF1.C.Blue.2023",14,243
"Coldfoot","CF","CF10","B",2023,"Coldfoot.CF10.B.Yellow.2023",14,222
"Coldfoot","CF","CF4","CF4",2016,"Coldfoot.CF4.CF4.Black.2016",13,202
"Coldfoot","SG","SG2","A",2022,"Coldfoot.SG2.A.Red.2022",13,210
"Coldfoot","SG","SG2","A",2022,"Coldfoot.SG2.A.Blue.2022",13,216
"Sagwon","CF","CF11","C",2023,"Sagwon.CF11.C.Yellow.2023",12,203
"Toolik","TL","TL13","C",2023,"Toolik.TL13.C.Blue.2023",14,228
"Coldfoot","CF","CF6","C",2022,"Coldfoot.CF6.C.blue.2022",13,223
"Sagwon","CF","CF10","CF10",2015,"Sagwon.CF10.CF10.Black.2015",10,220
"Sagwon","SG","SG19","C",2022,"Sagwon.SG19.C.red.2022",9,222
"Toolik","TL","TL4","TL4",2017,"Toolik.TL4.TL4.Black.2017",14,220
"Toolik","SG","SG10","SG10",2017,"Toolik.SG10.SG10.Black.2017",14,212
"Toolik","TL","TL8","A",2022,"Toolik.TL8.A.Red.2022",11,202
"Toolik","SG","SG10","A",2023,"Toolik.SG10.A.yellow.2023",11,201
"Coldfoot","TL","TL2","B",2023,"Coldfoot.TL2.B.Red.2023",14,213
"Toolik","CF","CF16","B",2022,"Toolik.CF16.B.blue.2022",11,215
"Toolik","CF","CF2","B",2022,"Toolik.CF2.B.red.2022",11,220
"Toolik","SG","SG3","SG3",2015,"Toolik.SG3.SG3.Black.2015",10,194
"Coldfoot","CF","CF2","A",2022,"Coldfoot.CF2.A.Blue.2022",13,223
"Coldfoot","TL","TL10","B",2022,"Coldfoot.TL10.B.blue.2022",13,210
"Coldfoot","TL","TL9","A",2022,"Coldfoot.TL9.A.blue.2022",13,201
"Coldfoot","TL","TL10","C",2022,"Coldfoot.TL10.C.blue.2022",13,201
"Sagwon","SG","SG2","B",2023,"Sagwon.SG2.B.blue.2023",13,217
"Sagwon","CF","CF2","CF2",2016,"Sagwon.CF2.CF2.Black2.2016",16,231
"Coldfoot","SG","SG7","C",2022,"Coldfoot.SG7.C.blue.2022",13,216
"Toolik","TL","TL19","TL19",2015,"Toolik.TL19.TL19.Black.2015",7,173
"Toolik","CF","CF19","CF19",2016,"Toolik.CF19.CF19.Black.2016",14,226
"Toolik","TL","TL17","B",2022,"Toolik.TL17.B.yellow.2022",11,215
"Toolik","TL","TL19","A",2024,"Toolik.TL19.A.red2.2024",8,227
"Sagwon","TL","TL16","C",2023,"Sagwon.TL16.C.red.2023",13,217
"Toolik","TL","TL19","C",2024,"Toolik.TL19.C.blue2.2024",8,227
"Sagwon","CF","CF16","A",2024,"Sagwon.CF16.A.Yellow.2024",12,226
"Sagwon","SG","SG2","B",2022,"Sagwon.SG2.B.blue.2022",9,NA
"Sagwon","TL","TL13","C",2023,"Sagwon.TL13.C.yellow.2023",13,224
"Coldfoot","SG","SG3","A",2024,"Coldfoot.SG3.A.Red2.2024",16,223
"Toolik","TL","TL2","A",2022,"Toolik.TL2.A.yellow.2022",11,220
"Coldfoot","TL","TL3","B",2023,"Coldfoot.TL3.B.Blue.2023",14,222
"Sagwon","CF","CF13","A",2022,"Sagwon.CF13.A.Blue.2022",9,NA
"Coldfoot","TL","TL8","TL8",2016,"Coldfoot.TL8.TL8.Black.2016",1,NA
"Coldfoot","SG","SG7","C",2023,"Coldfoot.SG7.C.yellow.2023",14,206
"Sagwon","TL","TL2","C",2023,"Sagwon.TL2.C.red.2023",13,224
"Toolik","TL","TL10","B",2023,"Toolik.TL10.B.blue.2023",12,221
"Toolik","CF","CF19","CF19",2015,"Toolik.CF19.CF19.Black.2015",10,205
"Toolik","TL","TL19","C",2022,"Toolik.TL19.C.blue.2022",11,215
"Toolik","TL","TL19","TL19",2017,"Toolik.TL19.TL19.Black.2017",13,220
"Sagwon","TL","TL8","TL8",2015,"Sagwon.TL8.TL8.Black.2015",3,NA
"Sagwon","CF","CF13","B",2022,"Sagwon.CF13.B.Red.2022",9,232
"Coldfoot","SG","SG3","B",2022,"Coldfoot.SG3.B.Red.2022",13,194
"Toolik","SG","SG17","SG17",2016,"Toolik.SG17.SG17.Black.2016",12,205
"Sagwon","SG","SG14","B",2022,"Sagwon.SG14.B.Blue.2022",9,214
"Sagwon","TL","TL17","B",2022,"Sagwon.TL17.B.red.2022",9,222
"Sagwon","SG","SG14","B",2022,"Sagwon.SG14.B.Red.2022",9,223
"Sagwon","CF","CF19","C",2022,"Sagwon.CF19.C.red.2022",9,199
"Coldfoot","SG","SG3","SG3",2015,"Coldfoot.SG3.SG3.Black.2015",9,168
"Sagwon","CF","CF13","C",2024,"Sagwon.CF13.C.Yellow.2024",13,205
"Coldfoot","SG","SG10","A",2023,"Coldfoot.SG10.A.Yellow.2023",14,222
"Toolik","SG","SG11","B",2023,"Toolik.SG11.B.Yellow.2023",11,215
"Toolik","CF","CF7","C",2023,"Toolik.CF7.C.yellow.2023",14,228
"Coldfoot","CF","CF10","B",2022,"Coldfoot.CF10.B.blue.2022",13,223
"Toolik","SG","SG3","C",2024,"Toolik.SG3.C.Purple.2024",7,NA
"Coldfoot","TL","TL4","A",2023,"Coldfoot.TL4.A.Yellow.2023",14,206
"Toolik","TL","TL10","C",2024,"Toolik.TL10.C.blue.2024",15,227
"Sagwon","SG","SG3","SG3",2017,"Sagwon.SG3.SG3.Black.2017",13,216
"Toolik","CF","CF16","B",2023,"Toolik.CF16.B.blue.2023",14,235
"Coldfoot","SG","SG1","A",2024,"Coldfoot.SG1.A.Blue2.2024",17,223
"Coldfoot","SG","SG5","A",2022,"Coldfoot.SG5.A.Blue.2022",13,210
"Toolik","SG","SG2","SG2",2015,"Toolik.SG2.SG2.Black.2015",10,187
"Sagwon","SG","SG11","A",2023,"Sagwon.SG11.A.blue.2023",13,224
"Toolik","CF","CF16","A",2024,"Toolik.CF16.A.blue.2024",15,232
"Coldfoot","TL","TL6","TL6",2016,"Coldfoot.TL6.TL6.Black.2016",13,217
"Coldfoot","SG","SG7","C",2024,"Coldfoot.SG7.C.yellow2.2024",17,215
"Toolik","SG","SG14","B",2024,"Toolik.SG14.B.blue.2024",15,227
"Toolik","CF","CF4","CF4",2015,"Toolik.CF4.CF4.Black.2015",10,205
"Coldfoot","CF","CF6","C",2023,"Coldfoot.CF6.C.red.2023",14,236
"Sagwon","CF","CF11","B",2023,"Sagwon.CF11.B.Red.2023",13,234
"Toolik","SG","SG10","C",2022,"Toolik.SG10.C.red.2022",11,215
"Toolik","CF","CF4","A",2023,"Toolik.CF4.A.yellow.2023",14,215
"Coldfoot","SG","SG7","SG7",2015,"Coldfoot.SG7.SG7.Black.2015",9,182
"Toolik","TL","TL13","B",2024,"Toolik.TL13.B.Blue2.2024",15,206
"Toolik","SG","SG10","C",2023,"Toolik.SG10.C.blue.2023",12,215
"Coldfoot","CF","CF10","A",2024,"Coldfoot.CF10.A.blue2.2024",17,223
"Sagwon","SG","SG3","C",2024,"Sagwon.SG3.C.red.2024",13,233
"Toolik","TL","TL10","A",2024,"Toolik.TL10.A.blue.2024",8,220
"Coldfoot","TL","TL3","TL3",2016,"Coldfoot.TL3.TL3.Black.2016",13,217
"Coldfoot","CF","CF9","A",2022,"Coldfoot.CF9.A.red.2022",13,223
"Coldfoot","CF","CF10","B",2024,"Coldfoot.CF10.B.Yellow2.2024",17,230
"Toolik","CF","CF16","B",2024,"Toolik.CF16.B.blue2.2024",3,NA
"Coldfoot","CF","CF3","C",2022,"Coldfoot.CF3.C.Red.2022",13,216
"Toolik","TL","TL4","C",2024,"Toolik.TL4.C.blue.2024",15,206
"Sagwon","CF","CF7","A",2024,"Sagwon.CF7.A.blue.2024",13,219
"Coldfoot","CF","CF9","A",2023,"Coldfoot.CF9.A.blue.2023",14,222
"Toolik","SG","SG11","C",2022,"Toolik.SG11.C.Blue.2022",11,215
"Coldfoot","CF","CF2","CF2",2017,"Coldfoot.CF2.CF2.Black.2017",13,233
"Toolik","TL","TL2","B",2022,"Toolik.TL2.B.yellow.2022",11,220
"Sagwon","SG","SG2","C",2023,"Sagwon.SG2.C.blue.2023",13,224
