Site,Src,Plot,Ind,Tiller,Yrm,gr,Tos,Tcode
Coldfoot,CF,CF2,B,Blue,2024,control,233,Coldfoot.CF2.B.Blue.2024
Coldfoot,CF,CF2,B,Red,2022,control,236,Coldfoot.CF2.B.Red.2022
Coldfoot,CF,CF2,C,Red,2023,control,232,Coldfoot.CF2.C.Red.2023
Coldfoot,CF,CF2,C,Red2,2024,control,230,Coldfoot.CF2.C.Red2.2024
Coldfoot,CF,CF2,CF2,Black,2016,control,242,Coldfoot.CF2.CF2.Black.2016
Coldfoot,CF,CF2,CF2,Black,2017,control,235,Coldfoot.CF2.CF2.Black.2017
Coldfoot,CF,CF3,A,Blue,2023,control,226,Coldfoot.CF3.A.Blue.2023
Coldfoot,CF,CF3,A,Blue2,2024,control,225,Coldfoot.CF3.A.Blue2.2024
Coldfoot,CF,CF3,A,Red,2022,control,230,Coldfoot.CF3.A.Red.2022
Coldfoot,CF,CF3,B,Blue,2022,control,208,Coldfoot.CF3.B.Blue.2022
Coldfoot,CF,CF3,B,Yellow,2023,control,221,Coldfoot.CF3.B.Yellow.2023
Coldfoot,CF,CF3,B,Yellow2,2024,control,191,Coldfoot.CF3.B.Yellow2.2024
Coldfoot,CF,CF3,C,Red,2022,control,232,Coldfoot.CF3.C.Red.2022
Coldfoot,CF,CF3,C,Red,2023,control,241,Coldfoot.CF3.C.Red.2023
Coldfoot,CF,CF3,C,Red,2024,control,237,Coldfoot.CF3.C.Red.2024
Coldfoot,CF,CF3,CF3,Black,2015,control,188,Coldfoot.CF3.CF3.Black.2015
Coldfoot,CF,CF3,CF3,Black,2016,control,188,Coldfoot.CF3.CF3.Black.2016
Coldfoot,CF,CF3,CF3,Black,2017,control,236,Coldfoot.CF3.CF3.Black.2017
Coldfoot,CF,CF3,CF3,Black2,2016,control,234,Coldfoot.CF3.CF3.Black2.2016
Coldfoot,CF,CF4,A,Blue,2022,control,203,Coldfoot.CF4.A.Blue.2022
Coldfoot,CF,CF4,A,Yellow,2023,control,216,Coldfoot.CF4.A.Yellow.2023
Coldfoot,CF,CF4,A,Yellow,2024,control,231,Coldfoot.CF4.A.Yellow.2024
Coldfoot,CF,CF4,B,Blue,2023,control,224,Coldfoot.CF4.B.Blue.2023
Coldfoot,CF,CF4,B,Blue2,2024,control,223,Coldfoot.CF4.B.Blue2.2024
Coldfoot,CF,CF4,B,Red,2022,control,225,Coldfoot.CF4.B.Red.2022
Coldfoot,CF,CF4,C,Blue,2022,control,235,Coldfoot.CF4.C.Blue.2022
Coldfoot,CF,CF4,C,Blue2,2024,control,224,Coldfoot.CF4.C.Blue2.2024
Coldfoot,CF,CF4,C,Red,2022,control,238,Coldfoot.CF4.C.Red.2022
Coldfoot,CF,CF4,CF4,Black,2015,control,219,Coldfoot.CF4.CF4.Black.2015
Coldfoot,CF,CF4,CF4,Black,2016,control,221,Coldfoot.CF4.CF4.Black.2016
Coldfoot,CF,CF4,CF4,Black,2017,control,231,Coldfoot.CF4.CF4.Black.2017
Coldfoot,CF,CF5,CF5,Black,2015,control,191,Coldfoot.CF5.CF5.Black.2015
Coldfoot,CF,CF5,CF5,Black2,2016,control,236,Coldfoot.CF5.CF5.Black2.2016
Coldfoot,CF,CF6,A,red,2023,control,238,Coldfoot.CF6.A.red.2023
Coldfoot,CF,CF6,A,red,2024,control,237,Coldfoot.CF6.A.red.2024
Coldfoot,CF,CF6,B,blue,2023,control,225,Coldfoot.CF6.B.blue.2023
Coldfoot,CF,CF6,B,blue2,2024,control,232,Coldfoot.CF6.B.blue2.2024
